"zip_code","cbsa_1",cbsa_1_ratio,"cbsa_2",cbsa_2_ratio,"cbsa_3",cbsa_3_ratio,"cbsa_4",cbsa_4_ratio
"00935","41980",0.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"00936","41980",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"00937","41980",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"00940","41980",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"00949","41980",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"00950","41980",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"00951","41980",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"00952","41980",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"00953","41980",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"00954","41980",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"00956","41980",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"00957","41980",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"00958","41980",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"00959","41980",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"00960","41980",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"00961","41980",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"00962","41980",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"00963","41980",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"00965","41980",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"00966","41980",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"00968","41980",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"00969","41980",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"00970","41980",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"00971","41980",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"00975","41980",0.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"00976","41980",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"00977","41980",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"00979","41980",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"00981","41980",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"00982","41980",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"00983","41980",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"00984","41980",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"00985","41980",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"00986","41980",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"00987","41980",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"00988","41980",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"01001","44140",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"01002","44140",0.98832756,"24640",0.01167244,NULL,NULL,NULL,NULL
"01003","44140",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"01004","44140",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"01005","49340",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"01007","44140",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"01008","44140",0.94979918,"38340",0.05020080,NULL,NULL,NULL,NULL
"01009","44140",0.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"01010","44140",0.97282273,"49340",0.02717727,NULL,NULL,NULL,NULL
"01011","44140",0.99023438,"38340",0.00976562,NULL,NULL,NULL,NULL
"01012","44140",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"01013","44140",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"01014","44140",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"01020","44140",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"01021","44140",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"01022","44140",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"01026","44140",0.94584841,"38340",0.05415162,NULL,NULL,NULL,NULL
"01027","44140",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"01028","44140",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"01029","38340",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"01030","44140",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"01031","49340",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"01032","44140",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"01033","44140",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"01034","44140",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"01035","44140",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"01036","44140",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"01037","49340",0.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"01038","44140",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"01039","44140",0.81042653,"24640",0.18957347,NULL,NULL,NULL,NULL
"01040","44140",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"01041","44140",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"01050","44140",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"01053","44140",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"01054","24640",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"01056","44140",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"01057","44140",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"01059","44140",0.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"01060","44140",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"01061","44140",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"01062","44140",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"01063","44140",0.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"01066","44140",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"01068","49340",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"01069","44140",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"01070","44140",0.98263890,"38340",0.01041667,"24640",0.00694444,NULL,NULL
"01071","44140",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"01072","24640",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"01073","44140",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"01074","49340",0.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"01075","44140",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"01077","44140",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"01079","44140",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"01080","44140",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"01081","44140",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"01082","44140",0.93102074,"49340",0.06897927,NULL,NULL,NULL,NULL
"01083","49340",0.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"01084","44140",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"01085","44140",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"01088","44140",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"01089","44140",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"01090","44140",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"01092","49340",0.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"01093","24640",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"01094","49340",0.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"01095","44140",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"01096","44140",0.89001012,"24640",0.10998991,NULL,NULL,NULL,NULL
"01097","44140",0.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"01098","44140",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"01101","44140",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"01103","44140",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"01104","44140",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"01105","44140",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"01106","44140",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"01107","44140",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"01108","44140",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"01109","44140",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"01111","44140",0.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"01115","44140",0.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"01116","44140",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"01118","44140",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"01119","44140",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"01128","44140",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"01129","44140",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"01138","44140",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"01139","44140",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"01144","44140",0.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"01151","44140",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"01152","44140",0.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"01199","44140",0.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"01201","38340",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"01202","38340",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"01220","38340",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"01222","38340",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"01223","38340",0.99855697,"44140",0.00144300,NULL,NULL,NULL,NULL
"01224","38340",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"01225","38340",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"01226","38340",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"01227","38340",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"01229","38340",0.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"01230","38340",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"01235","38340",0.96262628,"44140",0.03737374,NULL,NULL,NULL,NULL
"01236","38340",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"01237","38340",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"01238","38340",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"01240","38340",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"01242","38340",0.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"01243","44140",0.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"01244","38340",0.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"01245","38340",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"01247","38340",0.99718159,"24640",0.00281843,NULL,NULL,NULL,NULL
"01252","38340",0.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"01253","38340",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"01254","38340",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"01255","38340",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"01256","38340",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"01257","38340",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"01258","38340",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"01259","38340",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"01260","38340",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"01262","38340",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"01263","38340",0.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"01264","38340",0.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"01266","38340",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"01267","38340",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"01270","38340",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"01301","24640",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"01302","24640",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"01330","24640",0.97922850,"44140",0.02077151,NULL,NULL,NULL,NULL
"01331","49340",0.99903071,"24640",0.00096930,NULL,NULL,NULL,NULL
"01337","24640",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"01338","24640",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"01339","24640",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"01340","24640",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"01341","24640",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"01342","24640",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"01343","38340",0.96629214,"24640",0.03370786,NULL,NULL,NULL,NULL
"01344","24640",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"01346","24640",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"01347","24640",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"01349","24640",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"01350","24640",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"01351","24640",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"01354","24640",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"01355","24640",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"01360","24640",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"01364","24640",0.99780881,"49340",0.00219118,NULL,NULL,NULL,NULL
"01366","49340",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"01367","24640",0.93979931,"38340",0.06020067,NULL,NULL,NULL,NULL
"01368","49340",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"01370","24640",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"01373","24640",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"01375","24640",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"01376","24640",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"01378","24640",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"01379","24640",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"01380","24640",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"01420","49340",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"01430","49340",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"01431","14460",0.99825478,"49340",0.00174520,NULL,NULL,NULL,NULL
"01432","14460",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"01434","49340",0.68811882,"14460",0.31188118,NULL,NULL,NULL,NULL
"01436","49340",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"01438","49340",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"01440","49340",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"01441","49340",0.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"01450","14460",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"01451","49340",0.98859996,"14460",0.01140007,NULL,NULL,NULL,NULL
"01452","49340",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"01453","49340",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"01460","14460",0.99649507,"49340",0.00350493,NULL,NULL,NULL,NULL
"01462","49340",0.99867851,"14460",0.00132150,NULL,NULL,NULL,NULL
"01463","14460",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"01464","14460",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"01467","49340",0.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"01468","49340",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"01469","14460",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"01472","14460",0.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"01473","49340",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"01474","14460",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"01475","49340",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
