Zip Code,Total Students,Cuban,Mexican,Puerto Rican,Other Hispanic or Latino,Non-Hispanic or Latino,American Indian or Alaskan Native,Asian,Black or African American,Native Hawaiian or Other Pacific Islander,White,Other,I do not wish to respond – race,I do not wish to respond – ethnicity
27587 Total,1,0,0,0,0,1,0,0,1,0,0,0,0,0
27613 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
27615 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
28006 Total,1,0,0,0,1,0,0,0,0,0,1,0,0,0
28037 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
28078 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
28712 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
28803 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
29492 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
29607 Total,1,0,0,1,1,0,0,0,0,0,0,0,0,0
29681 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
29926 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
30009 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
30047 Total,1,0,0,0,0,1,0,0,1,0,0,0,0,0
30052 Total,1,0,0,0,0,1,0,0,1,0,0,0,0,0
30078 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
30087 Total,1,0,0,0,0,1,0,0,1,0,0,0,0,0
30277 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
30327 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
30349 Total,1,0,0,0,0,1,0,0,1,0,0,0,0,0
32084 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
32114 Total,1,1,0,1,1,0,0,0,0,0,0,0,0,0
32137 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
32164 Total,1,1,0,0,0,0,0,0,0,0,1,0,0,0
32703 Total,1,0,0,1,1,0,0,0,1,0,0,0,0,0
32828 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
33067 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
33133 Total,1,0,0,0,1,0,0,0,0,0,1,0,0,0
33137 Total,1,0,0,0,0,1,1,0,0,0,0,0,0,0
33139 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
33149 Total,1,0,0,0,1,0,0,0,0,0,1,0,0,0
33178 Total,1,0,0,1,0,0,0,0,0,0,1,0,0,0
33316 Total,1,1,0,0,0,0,0,0,0,0,1,0,0,0
33401 Total,1,0,0,0,1,0,0,0,0,0,0,0,1,0
33432 Total,3,0,0,1,0,2,0,0,0,0,3,0,0,0
33433 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
33444 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
33446 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
33480 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
33545 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
33611 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
33617 Total,1,0,0,0,0,1,1,0,0,0,0,0,0,0
33706 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
33904 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
34103 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
34108 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
34202 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
34229 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
34233 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
34471 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
34472 Total,1,0,0,0,0,1,0,0,1,0,0,0,0,0
34698 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
34730 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
36301 Total,1,0,0,0,0,1,0,0,0,0,0,0,0,0
38002 Total,1,0,0,0,1,0,0,0,0,0,1,0,0,0
39046 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
43081 Total,1,0,0,0,0,1,0,0,1,0,0,0,0,0
44022 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
44512 Total,1,0,1,0,0,0,0,0,0,0,1,0,0,0
44803 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
45244 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
46077 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
47374 Total,1,0,0,1,0,0,0,0,0,0,1,0,0,0
48230 Total,1,0,0,0,1,0,0,0,0,0,0,0,0,0
48304 Total,1,0,0,0,0,1,1,0,1,0,0,0,0,0
48307 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
52300 Total,1,0,0,0,0,1,0,1,0,0,0,0,0,0
52641 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
53202 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
55105 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
55391 Total,1,0,0,0,1,0,0,0,0,0,1,0,0,0
56440 Total,1,0,1,0,0,0,0,0,0,0,1,0,0,0
59801 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
60025 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
60035 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
60045 Total,1,0,0,0,0,0,0,0,0,0,0,0,0,1
60061 Total,1,0,0,0,0,1,0,0,1,0,0,0,0,0
60148 Total,1,0,0,0,0,1,0,1,0,0,0,0,0,0
60637 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
60640 Total,1,0,0,0,0,1,0,0,1,0,0,0,0,0
60642 Total,1,0,0,0,1,0,0,0,0,0,1,0,0,0
60651 Total,1,0,1,1,0,0,0,0,0,0,0,0,0,0
60652 Total,1,0,0,0,0,1,0,0,1,0,1,0,0,0
60657 Total,1,0,0,0,0,0,0,0,0,0,1,0,0,0
61920 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
70517 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
70599 Total,1,0,0,0,0,0,0,0,0,0,1,0,0,0
73120 Total,1,0,0,0,0,1,0,0,1,0,0,0,0,0
73542 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
74114 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
75033 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
75035 Total,2,0,0,0,0,2,0,1,0,0,1,0,0,0
75070 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
75074 Total,1,0,0,0,0,1,0,1,0,0,0,0,0,0
75703 Total,1,0,0,0,1,0,0,0,1,0,0,0,0,0
77024 Total,2,0,0,0,0,2,0,1,0,0,2,0,0,0
77059 Total,1,0,0,0,0,1,0,1,0,0,1,0,0,0
77092 Total,1,0,0,0,1,0,0,0,0,0,0,0,0,0
77494 Total,1,0,0,0,0,1,0,1,0,0,0,0,0,0
78230 Total,1,0,0,1,0,0,0,0,0,0,1,0,0,0
79912 Total,1,0,1,0,0,0,0,0,0,0,0,0,0,0
80013 Total,1,0,0,0,0,1,0,1,0,0,0,0,0,0
80220 Total,1,0,0,0,1,0,0,0,0,0,1,0,0,0
80477 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
81131 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
84004 Total,1,0,0,0,0,1,0,0,1,0,0,0,0,0
84037 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
84098 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
85086 Total,1,0,0,0,1,0,0,0,0,0,0,0,0,0
85249 Total,1,0,0,0,1,0,0,0,0,0,0,0,0,0
85283 Total,1,0,0,0,0,1,0,1,0,0,0,0,0,0
85613 Total,1,1,0,0,1,0,0,0,1,0,0,0,0,0
87547 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
89144 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
90020 Total,2,0,0,0,0,2,0,2,0,0,0,0,0,0
90045 Total,2,0,0,0,0,2,0,0,1,0,1,0,0,0
90265 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
91325 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
91355 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
91604 Total,1,0,0,0,0,0,0,0,0,0,1,0,0,1
92618 Total,1,0,0,0,0,1,0,1,0,0,0,0,0,0
92660 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
92663 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
92706 Total,2,0,2,0,1,0,0,0,0,0,1,0,0,0
94010 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
94602 Total,1,0,0,0,1,0,0,0,0,0,1,0,0,0
94941 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
94960 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
95070 Total,1,0,0,0,0,1,0,1,0,0,0,0,0,0
95492 Total,1,0,0,0,0,1,0,0,1,0,1,0,0,0
97133 Total,1,0,1,0,0,0,0,0,0,0,0,0,0,0
97361 Total,1,0,0,0,0,0,0,0,0,0,0,0,1,1
98034 Total,1,0,0,0,0,1,0,1,0,0,1,0,0,0
98040 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
98056 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
98074 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
98109 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
98125 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
98684 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
B2W 6 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
DV-07 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
G2C 1 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
H3Y 2 Total,2,0,0,0,0,2,0,0,0,0,2,0,0,0
H9A 2 Total,1,0,0,0,0,1,0,0,1,0,0,0,0,0
L1N 6 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
No Zip Code Total,32,0,0,0,4,22,1,12,3,0,14,0,0,2
V6Z 1 Total,1,0,0,0,0,1,0,0,1,0,1,0,0,0
Grand Total,36202,139,388,1248,3565,29015,795,3032,3884,211,28254,1,549,608
