Zip Code,Total Students,Cuban,Mexican,Puerto Rican,Other Hispanic or Latino,Non-Hispanic or Latino,American Indian or Alaskan Native,Asian,Black or African American,Native Hawaiian or Other Pacific Islander,White,Other,I do not wish to respond – race,I do not wish to respond – ethnicity
04250 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
04252 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
04260 Total,44,0,0,0,1,42,1,3,1,1,39,0,1,1
04268 Total,1,0,0,0,0,1,0,0,1,0,1,0,0,0
04270 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
04280 Total,2,0,0,0,0,2,0,0,0,0,2,0,0,0
04287 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
04342 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
04401 Total,5,0,0,0,0,5,0,0,0,0,5,0,0,0
04414 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
04530 Total,2,0,1,0,0,1,0,0,0,0,0,0,1,0
04579 Total,1,0,0,0,0,1,0,1,0,0,0,0,0,0
04841 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
04967 Total,1,0,0,0,1,0,0,0,0,0,1,0,0,0
05032 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
05035 Total,1,0,0,1,0,0,0,0,0,0,1,0,0,0
05056 Total,1,0,0,0,0,1,0,0,1,0,1,0,0,0
05063 Total,1,0,0,0,1,0,0,0,1,0,0,0,0,0
05089 Total,12,0,0,0,0,11,0,0,1,0,11,0,0,1
05091 Total,2,1,0,0,0,1,0,0,0,0,2,0,0,0
05101 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
05142 Total,7,0,0,0,0,7,0,0,0,0,7,0,0,0
05143 Total,21,0,0,0,0,21,0,0,1,0,21,0,0,0
05146 Total,1,0,1,0,0,0,0,0,0,0,1,0,0,0
05148 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
05149 Total,11,0,0,0,0,10,0,0,0,1,11,0,0,0
05150 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
05151 Total,3,0,0,0,0,3,1,0,0,0,3,0,0,0
05153 Total,2,0,0,0,0,1,0,0,0,0,1,0,0,1
05154 Total,13,0,0,0,1,12,0,8,0,0,5,0,1,0
05155 Total,2,0,0,0,0,2,0,0,0,0,2,0,0,0
05156 Total,33,0,0,0,0,31,2,0,0,0,31,0,0,0
05201 Total,52,1,2,2,1,47,1,3,0,0,48,0,1,0
05250 Total,11,0,0,0,0,11,0,0,0,0,11,0,0,0
05255 Total,5,0,0,0,1,4,1,2,0,0,2,0,0,0
05257 Total,10,0,0,0,1,9,0,0,1,0,9,0,0,0
05260 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
05261 Total,4,0,0,0,0,4,0,0,0,0,4,0,0,0
05262 Total,13,0,2,2,0,9,2,1,1,0,12,0,0,0
05301 Total,59,0,0,0,1,58,0,5,3,0,55,0,0,0
05302 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
05303 Total,1,0,0,0,0,0,0,0,0,0,1,0,0,0
05340 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
05343 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
05344 Total,5,0,0,0,0,5,0,0,0,0,5,0,0,0
05345 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
05346 Total,11,0,1,0,0,10,1,0,0,0,11,0,0,0
05353 Total,2,0,0,0,0,2,0,0,0,0,2,0,0,0
05354 Total,7,0,0,0,0,7,0,1,0,0,7,0,0,0
05356 Total,2,0,0,0,0,2,0,1,0,0,1,0,0,0
05357 Total,1,0,1,0,0,0,0,0,0,0,1,0,0,0
05358 Total,2,0,0,0,0,2,0,0,1,0,2,0,0,0
05360 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
05361 Total,4,0,0,0,0,4,0,0,0,0,4,0,0,0
05363 Total,1,0,0,0,0,1,0,1,0,0,0,0,0,0
05401 Total,54,0,1,0,4,49,2,3,5,0,45,0,1,0
05403 Total,80,0,2,0,2,73,1,8,6,0,65,0,2,3
05404 Total,16,0,0,0,0,16,0,4,4,0,9,0,0,0
05408 Total,46,0,1,1,3,40,4,5,5,0,34,0,1,1
05443 Total,32,0,1,0,0,30,0,2,0,0,31,0,1,1
05444 Total,2,0,0,0,0,2,0,0,0,0,2,0,0,0
05445 Total,27,0,0,0,1,26,0,1,0,0,27,0,0,0
05446 Total,7,0,0,0,0,7,0,1,0,0,6,0,0,0
05452 Total,145,0,0,1,6,135,2,12,7,1,126,0,2,3
05454 Total,8,0,0,0,0,8,1,0,1,0,7,0,0,0
05455 Total,2,0,0,0,0,2,0,0,0,0,2,0,0,0
05456 Total,7,0,0,0,0,7,0,0,0,0,7,0,0,0
05458 Total,10,0,0,0,0,9,0,0,0,0,9,0,0,1
05461 Total,24,0,2,0,1,22,0,0,2,0,23,0,0,0
05462 Total,6,0,0,0,0,6,0,0,0,0,6,0,0,0
05464 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
05465 Total,37,0,1,0,0,34,0,1,2,0,35,0,1,2
05468 Total,61,0,1,0,0,59,4,4,3,0,52,0,0,1
05469 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
05472 Total,7,0,0,1,0,6,0,0,0,0,7,0,0,0
05473 Total,4,0,0,0,0,4,0,0,0,0,4,0,0,0
05477 Total,25,0,0,0,0,23,1,0,0,0,25,0,0,2
05478 Total,11,1,0,0,0,9,1,0,0,0,9,0,0,1
05482 Total,31,0,0,0,0,31,0,0,0,0,31,0,0,0
05486 Total,7,0,0,0,0,6,1,0,0,0,6,0,0,0
05487 Total,2,0,0,0,0,2,0,0,0,0,2,0,0,0
05488 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
05489 Total,16,0,0,0,0,15,0,0,1,0,14,0,1,1
05491 Total,31,0,1,1,1,28,0,1,0,0,29,0,1,1
05494 Total,5,0,0,0,0,5,0,0,0,0,5,0,0,0
05495 Total,64,1,0,0,2,58,3,3,1,0,61,0,0,2
05641 Total,2,0,0,0,0,2,0,0,0,0,2,0,0,0
05672 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
05676 Total,4,0,0,0,0,4,0,0,0,0,4,0,0,0
05677 Total,2,0,0,0,1,1,1,0,0,0,2,0,0,0
05701 Total,101,1,1,2,1,96,1,2,3,0,97,0,0,0
05732 Total,5,0,0,0,0,5,0,1,0,1,5,0,0,0
05733 Total,25,0,0,0,0,23,1,0,0,0,22,0,0,1
05734 Total,4,0,0,0,0,4,0,0,0,0,4,0,0,0
05735 Total,15,0,0,0,0,15,2,1,0,0,14,0,0,0
05736 Total,2,0,0,0,0,2,0,0,0,0,2,0,0,0
05737 Total,9,0,0,0,0,9,0,0,0,0,9,0,0,0
05738 Total,3,0,1,0,0,2,0,0,0,0,3,0,0,0
05739 Total,2,0,0,0,1,1,0,0,0,0,2,0,0,0
05740 Total,3,0,0,0,0,3,0,0,0,0,3,0,0,0
05742 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
05743 Total,23,0,0,0,1,22,2,1,0,0,23,0,0,0
05744 Total,2,0,0,0,0,2,0,0,0,0,2,0,0,0
05748 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
05750 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
05751 Total,2,0,0,0,0,2,0,0,0,0,2,0,0,0
05753 Total,31,0,0,0,0,28,1,4,3,0,27,0,0,0
05757 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
05758 Total,2,0,0,0,0,2,0,0,0,0,2,0,0,0
05759 Total,3,0,0,0,0,2,0,0,0,0,3,0,0,0
05760 Total,3,0,0,0,0,3,0,0,0,0,3,0,0,0
05761 Total,2,0,0,0,0,2,0,0,0,0,2,0,0,0
05763 Total,17,0,0,0,1,14,1,1,1,0,15,0,0,1
05764 Total,9,0,0,0,0,8,1,0,3,0,7,0,0,0
05765 Total,11,0,0,0,0,11,0,0,0,0,11,0,0,0
05766 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
05769 Total,6,0,0,0,0,5,0,0,0,0,6,0,0,1
05770 Total,2,0,0,0,0,2,0,0,0,0,2,0,0,0
05773 Total,4,0,0,0,0,4,0,0,0,0,4,0,0,0
05774 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
05776 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
05777 Total,17,0,0,0,0,17,0,0,0,0,17,0,0,0
05778 Total,4,0,1,0,0,3,1,0,0,0,3,0,0,0
06001 Total,179,0,1,4,9,156,4,26,6,1,152,0,0,0
06002 Total,89,1,0,3,5,71,1,3,77,1,17,0,0,0
06006 Total,1,0,0,0,0,0,0,0,1,0,1,0,0,0
06010 Total,371,0,6,22,63,257,7,18,44,1,302,0,2,2
06011 Total,2,0,0,0,1,1,0,0,0,0,2,0,0,0
06013 Total,92,0,0,1,6,77,0,1,0,0,88,0,2,2
06016 Total,25,0,0,1,0,23,0,6,4,0,18,0,0,0
06018 Total,15,0,1,0,2,10,1,0,1,0,13,0,1,0
06019 Total,74,0,1,2,2,65,0,4,2,0,70,0,0,0
