High School Code,Total Students,Cuban,Mexican,Puerto Rican,Other Hispanic or Latino,Non-Hispanic or Latino,American Indian or Alaskan Native,Asian,Black or African American,Native Hawaiian or Other Pacific Islander,White,Other,I do not wish to respond – race,I do not wish to respond – ethnicity
300337 Total,52,0,0,1,1,49,0,1,1,0,49,0,0,1
300347 Total,186,1,0,4,6,173,3,9,3,1,172,0,1,2
300350 Total,4,1,0,0,0,3,0,0,0,0,4,0,0,0
300355 Total,134,0,5,4,7,107,3,14,12,0,96,0,0,4
300358 Total,10,0,1,0,0,9,0,0,0,0,10,0,0,0
300360 Total,60,0,2,3,2,49,2,3,9,0,46,0,0,1
300362 Total,63,1,0,0,1,61,0,5,2,0,55,0,0,0
300366 Total,116,0,5,6,11,93,3,15,5,1,89,0,0,2
300374 Total,29,0,2,2,2,22,2,0,2,0,26,0,0,0
300400 Total,3,0,1,1,0,1,0,1,0,0,1,0,0,0
300405 Total,97,0,2,1,2,89,3,2,0,0,88,0,1,3
300406 Total,12,0,0,0,2,10,0,0,1,0,11,0,0,0
300410 Total,101,0,2,1,9,83,1,4,4,0,90,0,1,3
300418 Total,86,0,0,1,4,76,0,15,3,0,71,0,1,2
300422 Total,1,0,0,0,0,0,0,0,0,0,0,0,0,1
300429 Total,6,0,0,0,0,6,0,0,0,0,6,0,0,0
300430 Total,188,0,7,6,16,151,4,15,12,1,153,0,0,10
300431 Total,171,0,3,6,14,135,2,32,10,1,123,0,0,13
300440 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
300455 Total,4,0,0,1,0,3,0,1,0,0,3,0,0,0
300470 Total,68,0,1,1,1,61,1,1,0,0,64,0,0,4
300482 Total,74,0,0,1,1,70,0,0,1,0,72,0,0,2
300484 Total,1,0,0,0,0,0,0,0,0,0,0,0,0,1
300485 Total,107,0,0,3,5,87,8,7,0,1,85,0,0,9
300508 Total,87,0,1,3,2,78,0,0,0,0,84,0,0,2
300520 Total,144,1,4,1,7,129,4,7,7,0,132,0,0,1
300521 Total,33,0,0,1,0,31,0,10,1,0,22,0,0,1
300525 Total,40,0,0,0,3,32,1,0,0,0,36,0,1,3
300550 Total,147,0,0,6,10,121,4,7,5,0,124,0,1,8
300555 Total,46,0,0,1,2,38,0,6,4,0,35,0,0,5
300558 Total,4,0,0,0,0,4,0,1,0,0,3,0,0,0
300565 Total,69,0,0,0,1,62,2,2,4,0,62,0,1,5
300580 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
300605 Total,99,0,0,0,0,96,2,1,2,0,98,0,0,1
300625 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
300634 Total,106,0,2,0,3,94,0,8,1,1,91,0,2,4
300635 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
310680 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
331016 Total,1,0,0,0,0,1,0,1,1,0,0,0,0,0
331095 Total,1,0,0,0,0,1,1,0,1,0,1,0,0,0
333350 Total,2,0,0,0,0,2,0,0,0,0,2,0,0,0
333464 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
333890 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
335930 Total,13,0,1,0,0,12,0,0,0,0,12,0,0,0
340661 Total,1,0,0,0,0,1,0,1,0,0,0,0,0,0
360785 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
390363 Total,3,0,0,0,0,3,0,0,0,0,3,0,0,0
391920 Total,1,0,0,0,0,1,0,0,1,0,0,0,0,0
395230 Total,1,0,0,0,1,0,0,0,0,0,1,0,0,0
400001 Total,16,0,0,1,6,4,3,2,7,0,6,0,0,0
400006 Total,24,0,1,2,13,5,0,1,8,0,8,0,1,0
400012 Total,15,0,1,2,4,5,1,0,6,1,10,0,0,0
400028 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
400031 Total,33,0,5,4,10,12,2,0,6,0,19,0,1,0
400034 Total,5,0,0,0,0,3,0,0,0,0,5,0,0,0
400035 Total,166,0,2,3,14,110,7,25,21,4,117,0,3,0
400036 Total,184,2,2,0,6,166,6,10,8,3,166,0,0,0
400037 Total,189,0,0,1,9,172,6,7,12,2,175,0,0,0
400039 Total,1,0,0,0,0,0,0,0,0,0,0,0,0,1
400045 Total,7,0,0,0,0,7,0,4,1,0,2,0,0,0
400050 Total,151,0,0,4,3,140,4,4,30,3,126,0,1,0
400053 Total,73,0,0,0,1,71,1,1,2,0,70,0,0,1
400055 Total,116,0,0,1,0,111,1,1,2,0,113,0,0,0
400057 Total,88,0,1,5,4,43,2,1,21,3,63,0,1,0
400058 Total,91,0,0,0,7,69,0,8,7,0,77,0,0,0
400059 Total,124,0,0,0,9,113,0,6,6,1,110,0,0,0
400060 Total,1,0,0,1,1,0,0,0,0,0,1,0,0,0
400090 Total,102,1,0,1,11,83,5,6,17,0,73,0,1,1
400093 Total,94,1,0,0,2,89,0,6,2,0,85,0,1,1
400095 Total,46,0,0,0,1,44,0,1,2,0,43,0,1,0
400100 Total,48,0,0,2,3,20,6,1,10,0,29,0,0,0
400110 Total,91,1,1,4,17,67,1,6,18,0,60,0,3,1
400115 Total,52,1,0,2,9,31,4,2,17,1,32,0,0,0
400125 Total,29,0,0,2,0,25,2,1,17,0,7,0,0,0
400128 Total,1,0,0,0,0,1,0,1,0,0,0,0,0,0
400130 Total,2,0,0,0,0,2,0,1,0,0,1,0,0,0
400141 Total,27,0,0,1,1,16,0,1,11,0,14,0,0,0
400142 Total,52,0,0,5,14,16,14,8,14,1,18,0,0,0
400144 Total,17,0,0,0,3,7,3,1,10,1,7,0,0,0
400145 Total,62,0,0,3,29,18,8,7,24,2,19,0,2,0
400146 Total,16,0,0,0,2,2,9,0,7,0,11,0,0,0
400147 Total,11,0,0,3,8,2,0,0,3,0,2,0,0,0
400148 Total,7,0,0,0,0,5,0,0,3,1,4,0,0,0
400150 Total,199,0,6,12,71,97,15,20,81,3,65,0,5,0
400155 Total,21,0,0,1,5,11,3,0,10,1,7,0,0,0
400157 Total,30,0,1,2,6,16,7,0,18,0,11,0,0,0
400160 Total,232,1,2,5,18,201,4,21,16,2,190,0,4,3
400165 Total,18,0,0,0,3,15,1,5,2,0,12,0,0,0
400166 Total,12,0,0,0,0,8,1,0,6,0,7,0,0,0
400170 Total,38,1,0,2,3,32,1,4,6,0,25,0,2,1
400171 Total,1,0,1,0,1,0,0,0,0,0,0,0,0,0
400172 Total,11,0,0,2,2,7,2,1,5,1,5,0,1,0
400180 Total,40,0,0,0,4,36,1,2,4,0,34,0,0,0
400183 Total,24,0,0,5,17,1,4,2,5,1,5,0,1,1
400185 Total,26,0,0,3,7,7,7,4,8,0,10,0,0,0
400187 Total,5,0,0,0,0,5,0,0,0,0,5,0,0,0
400188 Total,4,0,0,0,1,3,0,0,0,0,4,0,0,0
400210 Total,11,0,0,0,0,5,0,1,3,1,8,0,0,0
400215 Total,63,0,1,1,2,57,2,17,2,0,39,0,3,2
400237 Total,134,0,0,1,2,125,1,7,4,2,123,0,0,0
400238 Total,136,0,1,4,12,111,3,16,17,5,104,0,4,6
400239 Total,183,2,0,2,4,166,4,6,7,1,171,0,1,1
400250 Total,4,0,0,1,1,2,0,0,3,0,1,0,0,0
400265 Total,105,0,1,0,0,90,3,5,9,0,93,0,0,0
400282 Total,30,0,1,0,1,25,3,1,4,1,24,0,0,1
400285 Total,52,1,0,0,0,48,1,8,1,0,41,0,3,3
400287 Total,71,1,0,0,1,66,0,3,3,0,68,0,1,0
400295 Total,131,0,1,5,10,93,1,14,32,0,97,0,1,0
400360 Total,17,0,1,1,5,5,5,0,7,1,7,0,2,0
400969 Total,19,0,0,1,1,12,0,0,6,0,14,0,0,0
460005 Total,12,0,0,0,0,12,0,0,1,0,12,0,0,0
460012 Total,2,0,0,0,0,2,0,0,0,0,2,0,0,0
460029 Total,5,0,0,0,0,5,0,3,0,0,2,0,0,0
460030 Total,76,1,4,4,2,66,3,2,1,0,72,0,1,0
460050 Total,33,0,0,0,1,30,3,0,0,0,31,0,0,1
460055 Total,81,0,2,0,1,77,1,7,4,0,76,0,0,0
460065 Total,45,0,1,2,1,41,0,2,0,0,44,0,1,1
460078 Total,63,0,0,0,4,58,3,3,2,0,58,0,0,0
460080 Total,3,0,1,0,1,1,2,0,0,0,2,0,0,0
460085 Total,88,0,1,1,5,80,2,9,10,0,68,0,2,1
460087 Total,1,0,0,0,0,0,0,1,0,0,0,0,0,1
460099 Total,4,0,0,0,0,4,0,1,0,0,3,0,0,0
460105 Total,31,0,1,0,0,30,0,0,1,0,31,0,0,0
460126 Total,15,0,0,0,1,14,1,2,1,0,11,0,0,0
460134 Total,4,0,0,0,1,3,0,0,0,0,4,0,0,0
460135 Total,161,1,0,1,5,151,4,12,7,1,141,0,2,3
460145 Total,41,0,0,0,1,39,4,2,0,1,40,0,0,0
460175 Total,131,1,2,0,2,123,4,4,3,0,126,0,0,2
460205 Total,84,0,1,0,0,78,1,1,3,0,80,0,2,5
460213 Total,6,0,0,1,0,5,0,0,0,0,6,0,0,0
460215 Total,13,0,0,0,0,11,0,0,0,1,12,0,0,1
460240 Total,49,0,1,0,0,46,1,5,3,0,43,0,0,1
460250 Total,47,0,1,0,0,45,4,2,2,0,41,0,0,1
460296 Total,16,0,0,0,1,14,0,0,0,0,16,0,0,0
460330 Total,7,0,0,0,0,7,1,0,1,0,6,0,0,0
460335 Total,9,0,0,0,0,8,0,0,0,0,8,0,0,1
460340 Total,26,0,0,0,2,24,0,6,3,0,19,0,0,0
460375 Total,16,0,0,0,0,16,0,2,1,0,14,0,0,0
460376 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
460377 Total,114,1,2,2,1,108,1,2,4,0,110,0,0,0
460378 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
460405 Total,30,0,0,0,3,27,0,10,0,0,18,0,2,0
460413 Total,90,0,2,0,2,81,1,6,6,0,75,0,2,5
460417 Total,8,0,0,0,1,7,0,0,0,0,7,0,0,0
460430 Total,28,0,0,0,0,26,1,0,0,0,26,0,0,0
460443 Total,8,0,0,0,0,8,0,0,0,0,8,0,0,0
460460 Total,35,0,1,0,0,33,0,1,0,0,33,0,1,1
460474 Total,3,0,0,0,0,3,0,0,0,0,3,0,0,0
460485 Total,10,0,0,0,0,10,0,0,0,0,10,0,0,0
460503 Total,2,0,0,0,0,2,0,0,0,0,2,0,0,0
460505 Total,4,0,0,0,0,4,0,1,0,0,3,0,0,0
460510 Total,21,0,0,0,0,20,1,0,1,0,20,0,0,1
460515 Total,14,0,0,0,0,14,0,4,4,0,7,0,0,0
470902 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
471067 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
480385 Total,1,0,0,0,1,0,0,0,0,0,0,0,0,0
481292 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
675400 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
680400 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
692103 Total,1,0,0,0,0,1,0,1,0,0,0,0,0,0
692149 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
696040 Total,1,0,0,0,0,1,0,0,0,0,0,0,1,0
696070 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
696461 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
731845 Total,1,0,0,0,1,0,0,0,0,0,1,0,0,0
748160 Total,1,0,0,0,0,1,0,1,0,0,0,0,0,0
789151 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
792150 Total,1,0,0,0,0,1,0,0,1,0,0,0,0,0
854264 Total,1,0,0,0,1,0,0,0,0,0,1,0,0,0
970000 Total,72,0,0,2,3,64,0,3,2,0,60,0,5,3
990399 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
990799 Total,3,0,0,0,0,3,0,0,0,0,3,0,0,0
992099 Total,2,0,0,0,0,2,0,0,0,0,2,0,0,0
992299 Total,4,0,0,0,0,4,0,0,0,0,4,0,0,0
993099 Total,3,0,0,0,0,2,1,0,0,0,3,0,0,0
993999 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
994099 Total,3,0,0,0,0,3,1,0,1,0,2,0,0,0
994699 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
No HS Code Total,4,0,0,1,1,2,0,0,0,0,4,0,0,0
Grand Total,36202,139,388,1248,3565,29015,795,3032,3884,211,28254,1,549,608
