High School Code,Total Students,Cuban,Mexican,Puerto Rican,Other Hispanic or Latino,Non-Hispanic or Latino,American Indian or Alaskan Native,Asian,Black or African American,Native Hawaiian or Other Pacific Islander,White,Other,I do not wish to respond – race,I do not wish to respond – ethnicity
070655 Total,24,0,1,2,0,19,2,6,2,0,13,0,1,1
070670 Total,50,1,1,5,6,36,3,6,8,1,33,0,2,2
070675 Total,186,0,1,2,8,166,2,17,9,0,160,0,0,0
070678 Total,29,0,0,3,2,23,0,7,4,2,18,0,0,0
070680 Total,13,0,0,0,3,10,0,0,2,0,9,0,1,0
070683 Total,73,0,0,0,2,66,2,5,2,0,67,0,0,0
070685 Total,164,0,0,1,13,139,0,12,6,3,139,0,4,3
070689 Total,5,0,0,3,1,2,0,1,0,0,5,0,0,0
070690 Total,251,0,1,6,11,216,1,11,6,0,236,0,2,0
070695 Total,20,0,0,0,1,18,0,6,1,1,12,0,0,1
070698 Total,174,1,9,6,80,80,2,7,36,0,116,0,4,0
070700 Total,201,2,0,2,22,164,3,20,13,1,168,0,0,2
070705 Total,40,0,0,0,3,32,0,2,1,0,38,0,0,0
070707 Total,94,1,1,3,18,65,2,10,26,0,60,0,3,2
070715 Total,39,1,1,1,17,17,0,0,11,0,26,0,1,0
070720 Total,11,0,0,1,2,8,0,0,1,0,10,0,0,0
070729 Total,11,0,0,0,1,10,0,0,0,0,11,0,0,0
070746 Total,1,0,0,0,0,0,0,0,0,0,1,0,0,0
070750 Total,173,2,3,5,41,120,3,15,34,2,116,0,1,0
070751 Total,203,3,6,3,48,137,3,23,30,1,140,0,4,0
070752 Total,70,1,1,3,9,56,0,9,7,1,55,0,2,1
070753 Total,146,3,0,3,7,127,2,14,8,0,134,0,0,0
070755 Total,117,0,2,3,27,76,3,4,30,3,80,0,3,1
070756 Total,134,1,0,5,31,84,2,8,26,1,94,0,1,1
070760 Total,113,0,0,3,2,101,1,5,7,1,98,0,0,0
070765 Total,40,0,0,1,2,36,0,6,4,0,28,0,0,1
070770 Total,63,0,1,3,7,46,1,1,2,0,60,0,0,0
070775 Total,42,0,0,0,0,38,1,0,2,0,41,0,0,0
070780 Total,4,0,0,1,0,3,0,0,1,0,3,0,0,0
070790 Total,176,0,0,5,15,136,1,7,11,0,162,0,0,0
070792 Total,102,1,0,0,3,92,0,1,3,1,99,0,0,0
070793 Total,77,0,0,0,9,63,0,1,5,0,72,0,0,0
070794 Total,8,0,0,1,0,7,0,0,0,0,8,0,0,0
070795 Total,89,1,2,0,15,58,0,3,7,0,81,0,0,0
070796 Total,28,1,0,4,0,21,2,4,2,0,19,0,1,2
070797 Total,130,2,3,3,9,112,2,15,11,0,95,0,4,4
070800 Total,344,0,1,6,27,290,0,36,21,0,283,0,8,4
070805 Total,168,0,0,2,14,148,3,49,11,1,110,0,0,1
070807 Total,115,0,0,2,5,98,0,0,0,0,111,0,1,2
070816 Total,18,0,0,0,0,17,0,4,3,0,15,0,0,0
070825 Total,29,1,0,1,3,24,1,3,1,0,24,0,2,1
070830 Total,30,0,0,0,1,26,0,0,0,0,30,0,0,0
